id*	title*	education_title	disables_checkboxes	recommendations
1	Yes, I have anti-fatigue matting		TRUE	
2	No, I need anti-fatigue matting		FALSE	1
3	Yes, my footwear is supportive		TRUE	
4	No, my footwear needs improvement		FALSE	2
5	Yes, I have seating options		TRUE	
6	No, I need seating options		FALSE	3
7	Yes, I can adjust my work surface		TRUE	
8	No, I need adjustable work surface		FALSE	4
9	Yes, I use footrail or footrest		TRUE	
10	No, I need footrail or footrest		FALSE	5
11	Yes, items are within reach		TRUE	
12	No, I need better workspace organization		FALSE	6
13	Yes, I can alternate tasks		TRUE	
14	No, I need task rotation options		FALSE	7
15	Yes, I have replaced my shoes recently		TRUE	
16	No, I need new work shoes		FALSE	8
17	Yes, my shoes fit well		TRUE	
18	No, my shoes don't fit properly		FALSE	9
19	Yes, I have considered orthotics		TRUE	
20	No, I need orthotics information		FALSE	10
21	Yes, I take regular breaks		TRUE	
22	No, I need better break schedule		FALSE	11
23	Yes, my schedule allows adequate rest		TRUE	
24	No, I need better shift scheduling		FALSE	12
25	Yes, I stretch regularly		TRUE	
26	No, I need stretching routines		FALSE	13
27	Yes, I use proper lifting techniques		TRUE	
28	No, I need lifting technique training		FALSE	14
29	Yes, I use mechanical aids		TRUE	
30	No, I need access to mechanical aids		FALSE	15
31	Yes, I carry trays properly		TRUE	
32	No, I need tray carrying technique training		FALSE	16
33	Yes, I have proper vehicle clearance		TRUE	
34	No, I need vehicle ergonomic adjustment		FALSE	17
35	Yes, my lifting causes strain		FALSE	18
36	No, my lifting doesn't cause strain		TRUE	
37	Yes, I have enough headroom and seat depth		TRUE	
38	No, I need better seat design		FALSE	19
39	Yes, my headrest is properly adjusted		TRUE	
40	No, I need headrest adjustment		FALSE	20
41	Yes, I have proper vehicle clearance		TRUE	
42	No, I need vehicle ergonomic adjustment		FALSE	21
43	Yes, my seat is comfortable for hours		TRUE	
44	No, I need better seat comfort		FALSE	22
45	Yes, my headrest is properly adjusted		TRUE	
46	No, I need headrest adjustment		FALSE	23
47	Yes, I feel stiff, drowsy, or mentally foggy		FALSE	24
48	No, I don't experience fatigue issues		TRUE	
49	Yes, I feel shoulder or arm strain		FALSE	25
50	No, I don't experience arm strain		TRUE	
51	Yes, I have proper vehicle clearance		TRUE	
52	No, I need vehicle ergonomic adjustment		FALSE	26
53	Yes, I have enough headroom and seat depth		TRUE	
54	No, I need better seat design		FALSE	27
55	Yes, my headrest is properly adjusted		TRUE	
56	No, I need headrest adjustment		FALSE	28
57	Yes, my seat is comfortable for hours		TRUE	
58	No, I need better seat comfort		FALSE	29
59	Yes, I have proper vehicle clearance		TRUE	
60	No, I need vehicle ergonomic adjustment		FALSE	30
61	Yes, my headrest is properly adjusted		TRUE	
62	No, I need headrest adjustment		FALSE	31
63	Yes, I wait until something hurts		FALSE	32
64	No, I make adjustments proactively		TRUE	
65	Yes, I have proper vehicle clearance		TRUE	
66	No, I need vehicle ergonomic adjustment		FALSE	33
67	Yes, my headrest is properly adjusted		TRUE	
68	No, I need headrest adjustment		FALSE	34
69	Yes, I have enough headroom and seat depth		TRUE	
70	No, I need better seat design		FALSE	35
71	Yes, I wait until something hurts		FALSE	36
72	No, I make adjustments proactively		TRUE	
73	Yes, my chair allows proper height adjustment		TRUE	
