id*	title*	link*	description	image	tags	workplace
1	Canadian Centre for Occupational Health and Safety - Anti-Fatigue Mats	https://www.ccohs.ca/oshanswers/ergonomics/mats.html	Guide on anti-fatigue matting for workplace comfort		My Space	
2	ULINE Mat Guides	https://www.uline.ca/guide/MatGuides.htm	Mat selection guide		My Space	
3	ULINE Anti-Fatigue Mats	https://www.uline.ca/Grp_36/Anti-Fatigue-Mats	Anti-fatigue mat products		My Space	
4	Canadian Centre for Occupational Health and Safety - Footwear	https://www.ccohs.ca/oshanswers/prevention/ppe/footwear.html	Workplace footwear safety guide		My Space	
5	Canada.ca: Protect Your Feet	https://www.canada.ca/en/employment-social-development/services/health-safety/reports/feet.html	Government guide on foot protection		My Space	
6	Working on your feet PDF	https://www.ohcow.on.ca/edit/files/general_handouts/WorkingonYourFeet.pdf	OHCOW handout on working while standing		My Space	
7	Canadian Centre for Occupational Health and Safety - Chair Adjusting	https://www.ccohs.ca/oshanswers/ergonomics/office/chair_adjusting.html	Guide on adjusting office chairs for optimal posture		My Space	
8	Seymour Hub: Best Sitting Positions for Better Posture	https://seymour.ccohs.ca/sitting-positions	Sitting position recommendations		My Space	
9	Chair Desk Expert: Top Sitting Positions	https://chairdeskexpert.com/guide/chair-guide/desk-chairs/types-of-sitting-positions-on-chair/	Types of sitting positions on chair		My Space	
10	Proper Height of Work Surfaces PDF	https://open.alberta.ca/dataset/47fe7d3c-af23-4c5d-8c34-17741d52f046/resource/035c0270-1b3b-4d8d-92c3-ea2763ed36b7/download/whs-pub-erg016.pdf	Alberta workplace ergonomics guide		My Space	
11	CCOHS: Working in a Standing Position	https://www.ccohs.ca/oshanswers/ergonomics/standing/standing_basic.html	Standing position ergonomics		My Space	
12	Ideal Workbench Height Guide	https://sensibledigs.com/ideal-workbench-height/	Workbench height recommendations		My Space	
13	Foot rail - ErgoCanada	https://www.ergocanada.com/detailed_specification_pages/ergoverse_saiph_foot_brace_rail.html	Foot rail product specification		My Space	
14	Optimizing Factory Ergonomics	https://ergotronix.com/optimizing-factory-ergonomics/	Factory ergonomics strategies		My Space	
15	7 Flows to Consider in Factory Layout	https://txm.com/7-flows-consider-factory-layout/	Factory design and layout guide		My Space	
16	Ergonomics Guidebook for Manual Production Systems PDF	https://www.valin.com/documents/pdf/Bosch-Ergonomic-Guidebook.pdf	Bosch ergonomic guidebook		My Space	
17	ErgoPlus: A Step-by-Step Guide to Job Rotation	https://ergo-plus.com/job-rotation/	Job rotation guide for reducing strain		My Space	
18	TheMBAins: Best Practices for Job Rotation	https://thembains.com/what-is-job-rotation/	Job rotation best practices		My Space	
19	AIHR: Job Rotation Guide	https://www.aihr.com/blog/job-rotation/	Job rotation and skill development		My Space	
20	Best Shoes for Retail Workers - FootSmarter	https://footsmarter.com/best-shoes-for-retail-workers/	Retail worker footwear guide		My Space	
21	Best Picks: Shoes for Retail Workers - Vionic	https://vionicshoes.ca/blogs/news/best-shoes-for-retail-workers	Retail worker shoe features		My Space	
22	The 8 Best Shoes for Retail Workers	https://themenhero.com/best-shoes-for-retail-workers/	Retail worker shoe recommendations		My Space	
23	Best Orthotics or Insoles for Retail Employees	https://podiatryadvice.com/best-orthotics-or-insoles-for-retail-employees/	Orthotic options for retail workers		My Space	
24	Orthotic Insoles for People Who Work on Their Feet	https://selectflex.com/blogs/work-wellness/best-orthotic-insoles-for-people-who-work-on-their-feet	Insoles for standing workers		My Space	
25	OSHA Safety Manuals: Ergonomics Breaks Rest and Stretches	https://www.safetymanualosha.com/ergonomic-breaks-rest-periods-and-stretches/	OSHA ergonomic break guidelines		My Space	
26	Canada Labour Code: Breaks and Rest Periods	https://www.canada.ca/en/services/jobs/workplace/federal-labour-standards/work-hours/breaks-rest-period.html	Federal break regulations		My Space	
27	OSHA: Proper Lifting Techniques	https://www.osha.com/blog/proper-lifting-techniques	Safe lifting guidelines		My Space	
28	WSPS: Safe Lifting Tips	https://www.wsps.ca/resource-hub/articles/safe-lifting-10-tips-and-videos-of-how-to-lift-properly	Safe lifting tips and videos		My Space	
29	ErgoPlus: Proper Lifting Techniques PDF	https://ergo-plus.com/wp-content/uploads/WA-Handout-Proper-Lifting-Techniques.pdf?x51169	Proper lifting strategies		My Space	
30	OHCOW: Ergonomics & Manual Material Handling PDF	https://www.ohcow.on.ca/wp-content/uploads/2021/05/mmh_presentation_MS_2020.pdf	Manual material handling presentation		My Space	
31	CCOHS: Lifting Pushing Pulling	https://www.ccohs.ca/topics/hazards/ergonomic/lifting	Manual handling best practices		My Space	
32	How to Be a Good Waiter: Tray Carrying YouTube	https://www.youtube.com/watch?v=4c2sIvi196c	Tray carrying tutorial		My Space	
33	Canadian Centre for Occupational Health and Safety: Driver Ergonomics	https://www.ccohs.ca/oshanswers/ergonomics/driving.html	Driver ergonomics and positioning		My Space	
34	WorkSafeBC: Driving for Work	https://www.worksafebc.com/en/health-safety/hazards-exposures/driving-work	Workplace driving safety		My Space	
35	CCOHS: Driving Distance	https://www.ccohs.ca/oshanswers/occup_workplace/drivers_distance.html	Long distance driving considerations		My Space	
36	CCOHS: Stress and Driving	https://www.ccohs.ca/oshanswers/psychosocial/stress.html	Workplace stress and driving		My Space	
37	CCOHS: Impairment at Work	https://www.ccohs.ca/oshanswers/hsprograms/impairment/impairment.html	Sleep deprivation and work impairment		My Space	
38	CCOHS: Driving Ergonomics	https://www.ccohs.ca/oshanswers/ergonomics/driver.html	Driver ergonomics and safety		My Space	
39	Transit Cooperative Research Program: Bus Operator Seating Guides PDF	https://onlinepubs.trb.org/onlinepubs/tcrp/tcrp_rpt_25-a.pdf	Transit operator seating guide		My Space	
40	ErgoPlus: Early Signs of Musculoskeletal Disorders	https://ergo-plus.com/msds-early-warning-signs/	Early warning signs of workplace injuries		My Space	
41	Canadian Centre for Occupational Health and Safety: Staying Safe Behind the Wheel	https://www.ccohs.ca/oshanswers/ergonomics/driver.html	Driver safety guidance		My Space	
42	MiniPC Tech - Adjusting Your Ergonomic Chair	https://minipctech.com/adjusting-your-ergonomic-chair/	Ergonomic chair adjustment tips		My Space	
43	FlexiSpot - Step-by-Step Guide to Adjusting Your Ergonomic Chair	https://www.flexispot.com/spine-care-center/a-step-by-step-guide-to-adjusting-your-ergonomic-chair	Ergonomic chair setup guide		My Space	
44	BTOD - Step Comfort Top Ergonomic Footrests	https://www.btod.com/blog/step-comfort-top-ergonomic-footrests/	Ergonomic footrest reviews		My Space	
45	Forbes Health - Best Foot Rests	https://www.forbes.com/health/wellness/best-foot-rests/	Footrest selection guide		My Space	
46	Improve Workspace - Complete Guide to Desk Heights	https://improveworkspace.com/the-complete-guide-to-desk-heights-for-better-posture/	Desk height and posture guide		My Space	
47	Mayo Clinic - Office Ergonomics	https://www.mayoclinic.org/healthy-lifestyle/adult-health/in-depth/office-ergonomics/art-20046169	Office ergonomics guidance		My Space	
48	EFFYDESK - Adjusting Your Standing Desk Height	https://effydesk.com/en-us/blogs/news/the-proper-way-to-adjust-your-standing-desk-height-ergonomic-tips-for-optimal-comfort	Standing desk ergonomics		My Space	
49	Soundproof Cow: Free-Standing Sound & Acoustic Panels	https://www.soundproofcow.com/product-category/acoustic-panels/free-standing-acoustic-panels/	Acoustic panels for noise control		My Space	
50	Fabric Partitions - ULINE	https://www.uline.ca/BL_3728/Uline-Fabric-Partitions	Mobile fabric partitions		My Space	
51	Uline Fabric Privacy Panels	https://www.uline.ca/BL_2839/Fabric-Privacy-Panels	Desk-mounted privacy panels		My Space	
52	Loop Earplugs - Official Site	https://www.loopearplugs.com/	Noise-reducing earplugs		My Space	
53	Amazon Canada - Loop Earplugs	https://www.amazon.ca/s?k=loop+earplugs	Loop earplugs on Amazon		My Space	
54	How to Setup the perfect home office	https://remoteproductivityhub.com/home-office-setup/	Home office setup guide		My Space	
55	The Pomodoro Technique for Managing ADHD	https://www.thesummitpsychology.com/blog/the-pomodoro-technique-for-managing-adhd	Pomodoro technique for focus		My Space	
56	Why You Need Short Breaks	https://deliberatedirections.com/how-to-take-short-breaks/	Science of short breaks		My Space	
57	Micro Breaks: The Importance of Taking a Break from Work - Calm	https://blog.calm.com/blog/micro-breaks	Micro breaks for health		My Space	
